Player id,Player,Goals,Position,Club,League,Age,Country,Domestic,
339447,Johnny ACOSTA,0,Defender,LD Alajuelense,Costa Rica,30,Costa Rica,TRUE,
178630,Johnny HERRERA,0,Goalkeeper,Club Universidad de Chile,Chile,33,Chile,TRUE,
298677,Jonathan DE GUZMAN,0,Midfielder,Swansea City AFC,England,26,Netherlands,FALSE,
306634,Jonathan MENSAH,0,Defender,Evian TG FC,France,23,Ghana,FALSE,
353235,Jordan AYEW,0,Forward,FC Sochaux-Montbliard,France,22,Ghana,FALSE,
356189,Jordan HENDERSON,0,Midfielder,Liverpool FC,England,24,England,TRUE,
306954,Jordi ALBA,0,Defender,FC Barcelona,Spain,25,Spain,TRUE,
358732,Jordy CLASIE,0,Midfielder,Feyenoord Rotterdam,Netherlands,22,Netherlands,TRUE,
230114,Jorge CLAROS,0,Midfielder,CD Motagua,Honduras,28,Honduras,TRUE,
276132,Jorge FUCILE,0,Defender,FC Porto,Portugal,29,Uruguay,FALSE,
181930,Jorge GUAGUA,0,Defender,CS Emelec,Ecuador,32,Ecuador,TRUE,
358022,Jose CHOLEVAS,0,Defender,Olympiacos Piraeus FC,Greece,29,Greece,TRUE,
195231,Jose CORONA,0,Goalkeeper,Cruz Azul FC,Mexico,33,Mexico,TRUE,
268822,Jose CUBERO,0,Midfielder,CS Herediano,Costa Rica,27,Costa Rica,TRUE,
229440,Jose FUENZALIDA,0,Midfielder,CSD Colo-Colo,Chile,29,Chile,TRUE,
368655,Jose GIMENEZ,0,Defender,Atletico Madrid,Spain,19,Uruguay,FALSE,
349832,Jose Maria BASANTA,0,Defender,CF Monterrey,Mexico,30,Argentina,FALSE,
245156,Jose ROJAS,0,Defender,Club Universidad de Chile,Chile,30,Chile,TRUE,
379264,Jose VAZQUEZ,0,Midfielder,Club Leon,Mexico,26,Mexico,TRUE,
178403,Joseph YOBO,0,Defender,Norwich City FC,England,33,Nigeria,FALSE,
356399,Josip DRMIC,0,Forward,1. FC Nuernberg,Germany,21,Switzerland,FALSE,
238072,Jozy ALTIDORE,0,Forward,Sunderland AFC,England,24,USA,FALSE,
296303,Juan Carlos GARCIA,0,Defender,Wigan Athletic FC,England,26,Honduras,FALSE,
365464,Juan MONTES,0,Defender,CD Motagua,Honduras,28,Honduras,TRUE,
349576,Juan PAREDES,0,Defender,Barcelona SC,Ecuador,26,Ecuador,TRUE,
229443,Juan ZUNIGA,0,Defender,SSC Napoli,Italy,28,Colombia,FALSE,
207906,JUANFRAN,0,Defender,Atletico Madrid,Spain,29,Spain,TRUE,
358692,Julian DRAXLER,0,Midfielder,FC Schalke 04,Germany,20,Germany,TRUE,
179038,JULIO CESAR,0,Goalkeeper,Toronto FC,Canada,34,Brazil,FALSE,
198546,JUNG Sungryong,0,Goalkeeper,Suwon Bluewings FC,South Korea,29,South Korea,TRUE,
209940,Junior DIAZ,0,Defender,FSV Mainz 05,Germany,30,Costa Rica,FALSE,
356712,Juwon OSHANIWA,0,Defender,FC Ashdod,Israel,23,Nigeria,FALSE,
330659,Karim ANSARI FARD,0,Forward,Tractor Sazi Tabriz FC,Iran,24,Iran,TRUE,
315424,Kenneth OMERUO,0,Defender,Middlesbrough FC,England,20,Nigeria,FALSE,
358694,Kevin GROSSKREUTZ,0,Defender,Borussia Dortmund,Germany,25,Germany,TRUE,
290903,Kevin MIRALLAS,0,Forward,Everton FC,England,26,Belgium,FALSE,
196897,Kevin Prince BOATENG,0,Forward,FC Schalke 04,Germany,27,Ghana,FALSE,
199175,Keylor NAVAS,0,Goalkeeper,Levante UD,Spain,27,Costa Rica,FALSE,
306206,Khosro HEYDARI,0,Forward,Esteghlal Tehran FC,Iran,30,Iran,TRUE,
268406,KI Sungyueng,0,Midfielder,Sunderland AFC,England,25,South Korea,FALSE,
291389,KIM Bokyung,0,Midfielder,Cardiff City FC,England,24,South Korea,FALSE,
278126,KIM Changsoo,0,Defender,Kashiwa Reysol,Japan,28,South Korea,FALSE,
274281,KIM Seunggyu,0,Goalkeeper,Ulsan Hyundai FC,South Korea,23,South Korea,TRUE,
321745,KIM Shinwook,0,Forward,Ulsan Hyundai FC,South Korea,26,South Korea,TRUE,
375754,KIM Younggwon,0,Defender,Guangzhou Evergrande FC,China,24,South Korea,FALSE,
313410,KOKE,0,Midfielder,Atletico Madrid,Spain,22,Spain,TRUE,
178963,Kolo TOURE,0,Defender,Liverpool FC,England,33,Ivory Coast,FALSE,
